Year,Month,Date,Label,Top Level,Category 1,Category 2,Type,Value
2017,8,2017-08-01,Pentanes Plus  - Plant/Gathering Process,Pentanes Plus - Plant/Gathering Process,Receipts,Pentanes Plus,flow,702759.3
2017,9,2017-09-01,Pentanes Plus  - Plant/Gathering Process,Pentanes Plus - Plant/Gathering Process,Receipts,Pentanes Plus,flow,759092.8
2017,10,2017-10-01,Pentanes Plus  - Plant/Gathering Process,Pentanes Plus - Plant/Gathering Process,Receipts,Pentanes Plus,flow,815890.4
2017,11,2017-11-01,Pentanes Plus  - Plant/Gathering Process,Pentanes Plus - Plant/Gathering Process,Receipts,Pentanes Plus,flow,856158
2017,12,2017-12-01,Pentanes Plus  - Plant/Gathering Process,Pentanes Plus - Plant/Gathering Process,Receipts,Pentanes Plus,flow,902476.8
2017,1,2017-01-01,Pentanes Plus  - Fractionation Yield,Pentanes Plus - Fractionation Yield,Receipts,Pentanes Plus,flow,242953.5
2017,2,2017-02-01,Pentanes Plus  - Fractionation Yield,Pentanes Plus - Fractionation Yield,Receipts,Pentanes Plus,flow,225215.4
2017,3,2017-03-01,Pentanes Plus  - Fractionation Yield,Pentanes Plus - Fractionation Yield,Receipts,Pentanes Plus,flow,229159.2
2017,4,2017-04-01,Pentanes Plus  - Fractionation Yield,Pentanes Plus - Fractionation Yield,Receipts,Pentanes Plus,flow,215137.3
2017,5,2017-05-01,Pentanes Plus  - Fractionation Yield,Pentanes Plus - Fractionation Yield,Receipts,Pentanes Plus,flow,215464.3
2017,6,2017-06-01,Pentanes Plus  - Fractionation Yield,Pentanes Plus - Fractionation Yield,Receipts,Pentanes Plus,flow,206558.8
2017,7,2017-07-01,Pentanes Plus  - Fractionation Yield,Pentanes Plus - Fractionation Yield,Receipts,Pentanes Plus,flow,275002.8
2017,8,2017-08-01,Pentanes Plus  - Fractionation Yield,Pentanes Plus - Fractionation Yield,Receipts,Pentanes Plus,flow,274485.7
2017,9,2017-09-01,Pentanes Plus  - Fractionation Yield,Pentanes Plus - Fractionation Yield,Receipts,Pentanes Plus,flow,244316.9
2017,10,2017-10-01,Pentanes Plus  - Fractionation Yield,Pentanes Plus - Fractionation Yield,Receipts,Pentanes Plus,flow,284747.3
2017,11,2017-11-01,Pentanes Plus  - Fractionation Yield,Pentanes Plus - Fractionation Yield,Receipts,Pentanes Plus,flow,269120.1
2017,12,2017-12-01,Pentanes Plus  - Fractionation Yield,Pentanes Plus - Fractionation Yield,Receipts,Pentanes Plus,flow,262823.1
2017,1,2017-01-01,Skim Oil Recovered,Skim Oil Recovered,Receipts,,flow,13371.6
2017,2,2017-02-01,Skim Oil Recovered,Skim Oil Recovered,Receipts,,flow,13103.2
2017,3,2017-03-01,Skim Oil Recovered,Skim Oil Recovered,Receipts,,flow,14295
2017,4,2017-04-01,Skim Oil Recovered,Skim Oil Recovered,Receipts,,flow,13286.6
2017,5,2017-05-01,Skim Oil Recovered,Skim Oil Recovered,Receipts,,flow,13691.2
2017,6,2017-06-01,Skim Oil Recovered,Skim Oil Recovered,Receipts,,flow,14479.8
2017,7,2017-07-01,Skim Oil Recovered,Skim Oil Recovered,Receipts,,flow,30245.9
2017,8,2017-08-01,Skim Oil Recovered,Skim Oil Recovered,Receipts,,flow,12794
2017,9,2017-09-01,Skim Oil Recovered,Skim Oil Recovered,Receipts,,flow,12842.7
2017,10,2017-10-01,Skim Oil Recovered,Skim Oil Recovered,Receipts,,flow,13721.3
2017,11,2017-11-01,Skim Oil Recovered,Skim Oil Recovered,Receipts,,flow,14852.9
2017,12,2017-12-01,Skim Oil Recovered,Skim Oil Recovered,Receipts,,flow,14065.6
2017,1,2017-01-01,Waste Plant Receipts,Waste Plant Receipts,Receipts,,flow,28245.8
2017,2,2017-02-01,Waste Plant Receipts,Waste Plant Receipts,Receipts,,flow,25910.5
2017,3,2017-03-01,Waste Plant Receipts,Waste Plant Receipts,Receipts,,flow,32237.6
2017,4,2017-04-01,Waste Plant Receipts,Waste Plant Receipts,Receipts,,flow,23944
2017,5,2017-05-01,Waste Plant Receipts,Waste Plant Receipts,Receipts,,flow,28752
2017,6,2017-06-01,Waste Plant Receipts,Waste Plant Receipts,Receipts,,flow,25559
2017,7,2017-07-01,Waste Plant Receipts,Waste Plant Receipts,Receipts,,flow,23609.7
2017,8,2017-08-01,Waste Plant Receipts,Waste Plant Receipts,Receipts,,flow,23625
2017,9,2017-09-01,Waste Plant Receipts,Waste Plant Receipts,Receipts,,flow,29276.8
2017,10,2017-10-01,Waste Plant Receipts,Waste Plant Receipts,Receipts,,flow,25588.7
2017,11,2017-11-01,Waste Plant Receipts,Waste Plant Receipts,Receipts,,flow,25963.8
2017,12,2017-12-01,Waste Plant Receipts,Waste Plant Receipts,Receipts,,flow,27187.2
2017,1,2017-01-01,Other Alberta Receipts,Other Alberta Receipts,Receipts,,flow,226548.7
2017,2,2017-02-01,Other Alberta Receipts,Other Alberta Receipts,Receipts,,flow,138403.7
2017,3,2017-03-01,Other Alberta Receipts,Other Alberta Receipts,Receipts,,flow,195499.2
2017,4,2017-04-01,Other Alberta Receipts,Other Alberta Receipts,Receipts,,flow,151332.5
2017,5,2017-05-01,Other Alberta Receipts,Other Alberta Receipts,Receipts,,flow,128878.7
2017,6,2017-06-01,Other Alberta Receipts,Other Alberta Receipts,Receipts,,flow,115015.1
